log_date,employee,department,task_category,task_name,minutes,channel,priority,status,note
2025/12/1,Mei,Admin,DataEntry,Sales list update,45,Onsite,Med,Done,Fixed missing rows
2025/12/1,Ryo,Admin,InvoiceCheck,Invoice validation,60,Onsite,High,Done,Checked 12 invoices
2025/12/1,Aki,Admin,Reporting,Weekly KPI draft,50,Email,Med,Done,Prepared outline
2025/12/2,Hina,IT-Support,InquiryHandling,Password reset requests,40,Chat,Med,Done,5 users
2025/12/2,Kota,IT-Support,TicketOps,Ticket triage,55,Email,High,Done,Escalated 2
2025/12/2,Sora,IT-Support,Meeting,Vendor sync,30,Online,Med,Done,Discussed SLA
2025/12/3,Mei,Admin,DataEntry,CRM data entry,75,Onsite,Med,Done,New leads 38
2025/12/3,Ryo,Admin,Reporting,Monthly report prep,50,Onsite,Med,Done,Created tables
2025/12/3,Aki,Admin,Meeting,Ops planning,35,Online,Med,Done,Resource allocation
2025/12/4,Hina,IT-Support,InquiryHandling,Device setup questions,45,Chat,Med,Done,Standard FAQ
2025/12/4,Kota,IT-Support,TicketOps,Ticket updates,60,Email,Med,Done,Closed 8 tickets
2025/12/4,Sora,IT-Support,Automation,Macro idea review,40,Online,Low,Done,Collected candidates
2025/12/5,Mei,Admin,InvoiceCheck,Payment request checks,55,Email,High,Done,Need one correction
2025/12/5,Ryo,Admin,DataCleaning,Duplicate customer merge,70,Onsite,Med,Done,Matched by email
2025/12/5,Aki,Admin,Reporting,Weekly KPI final,65,Email,High,Done,Sent to manager
2025/12/6,Hina,IT-Support,InquiryHandling,Login issue investigation,60,Chat,High,Done,Cache clear solved
2025/12/6,Kota,IT-Support,TicketOps,Incident follow-up,75,Email,High,InProgress,Waiting vendor
2025/12/6,Sora,IT-Support,Meeting,Incident review,45,Online,High,Done,Action items set
2025/12/7,Mei,Admin,DataEntry,Attendance sheet update,40,Onsite,Low,Done,Weekly routine
2025/12/7,Ryo,Admin,Meeting,Backoffice handover,30,Online,Med,Done,New process
2025/12/7,Aki,Admin,Automation,Excel template improvement,55,Onsite,Med,Done,Reduced manual steps
